histbin,n_predict,nfeatures,predict_secs,spatial,test_accy,train_secs
36,10,876,0.00315,16,0.9957,0.78
36,10,300,0.0038,8,0.9935,0.18
32,10,864,0.00325,16,0.9935,0.88
20,10,828,0.00393,16,0.9935,0.88
32,10,288,0.00341,8,0.9914,0.2
40,10,888,0.00397,16,0.9914,0.76
24,10,840,0.00318,16,0.9914,0.9
40,10,1320,0.00719,20,0.9914,1.8
24,10,2424,0.0035,28,0.9914,3.69
40,10,3192,0.00363,32,0.9914,4.81
36,10,3180,0.00338,32,0.9914,4.92
40,10,312,0.00321,8,0.9892,0.18
32,10,528,0.00497,12,0.9892,0.39
40,10,552,0.00454,12,0.9892,0.47
36,10,1308,0.00412,20,0.9892,1.7
32,10,3168,0.00339,32,0.9892,6.46
20,10,252,0.00301,8,0.9871,0.16
28,10,276,0.00365,8,0.9871,0.18
28,10,516,0.00396,12,0.9871,0.42
24,10,504,0.00315,12,0.9871,0.45
32,10,864,0.00442,16,0.9871,0.64
28,10,852,0.00335,16,0.9871,0.8
64,10,960,0.00591,16,0.9871,1.01
64,10,3264,0.00338,32,0.9871,3.48
36,10,2460,0.00389,28,0.9871,3.75
28,10,3156,0.0036,32,0.9871,5.07
32,10,288,0.00417,8,0.9849,0.19
64,10,384,0.0052,8,0.9849,0.29
40,10,1848,0.00328,24,0.9849,2.28
36,10,1836,0.00308,24,0.9849,2.6
40,10,2472,0.00315,28,0.9849,3.64
32,10,1296,0.00391,20,0.9828,0.89
24,10,1272,0.00348,20,0.9828,1.62
32,10,3168,0.0033,32,0.9828,5.02
20,10,492,0.00536,12,0.9806,0.44
36,10,540,0.00415,12,0.9806,0.48
28,10,1284,0.00353,20,0.9806,1.55
20,10,1260,0.0034,20,0.9806,1.67
32,10,2448,0.00453,28,0.9806,3.78
24,10,3144,0.0036,32,0.9806,5.3
64,10,12480,0.00416,64,0.9806,33.33
32,10,1824,0.00344,24,0.9785,2.0
24,10,1800,0.00358,24,0.9785,2.77
20,10,2412,0.00344,28,0.9785,4.09
24,10,264,0.00334,8,0.9742,0.17
20,10,1788,0.00326,24,0.9742,2.96
28,10,2436,0.01285,28,0.9742,4.37
20,10,3132,0.00358,32,0.9742,5.4
28,10,1812,0.00331,24,0.972,2.64
16,10,3120,0.00326,32,0.9699,6.72
16,10,240,0.00511,8,0.9677,0.23
16,10,816,0.00461,16,0.9677,1.17
32,10,12384,0.00413,64,0.9677,34.28
8,10,792,0.00534,16,0.9656,1.52
8,10,216,0.00414,8,0.957,0.34
16,10,12336,0.00553,64,0.957,37.4
8,10,3096,0.00687,32,0.9484,7.31
8,10,12312,0.00711,64,0.9312,30.22
